Transcript ID,young,mid,old,log_fold
NM_173647,1.3716427052957763,1.4857127463485769,1.6461983484037892,1.2001655693920734
NR_028028,1.4009963062270785,1.4963604785561557,1.616084266085003,1.1535250013878782
NM_001300899,1.0413300559486298,1.1562569758756185,1.3248903563179601,1.272305882990204
NM_030571,1.7726092364291917,1.8440869830690136,2.0175739404772575,1.1381944192852858
NM_012106,2.0286545829575635,2.1027426156661777,2.2302060645383373,1.0993522915502614
NM_147150,2.006383073875281,2.153913708947653,2.362514912994524,1.1774994235928151
NM_015194,1.5578382934150548,1.9464672368669338,2.241403194255014,1.4387906650705478
NM_001136562,2.0413021632636696,2.190215629655193,2.399364081823364,1.175408582327282
NM_001101801,1.438341532293071,1.5302570897654386,1.6590953818488359,1.1534780471810675
NM_001310,1.4195423770923081,1.5189297603761982,1.6885124525468764,1.1894766086557471
NM_001323370,0.5239415641851731,1.383691382469358,2.0403202893318473,3.894175283659593
NM_020353,0.9321786489569436,1.1417005936295803,1.6188137514472023,1.7365917501527903
NM_005780,1.806151599838291,1.9248027489282982,2.1413128341084735,1.185566501892859
NM_022470,1.2023461824914488,1.3721287048574853,1.7110824141257983,1.4231195965376366
NM_001017923,0.6935015501804178,0.832680585010542,1.0173738300301276,1.4670101743326354
NM_002035,1.3438535102879883,1.4141040670194598,1.5747033538001562,1.1717819998570356
NM_003941,1.3276084411289981,1.4214510879014233,1.6075063669180345,1.2108286729112774
NM_000313,0.9282894479774876,1.2005052407398886,1.4380969676426345,1.5491902560951123
NM_033632,1.0371508276265458,1.190541075842515,1.352136783288334,1.3037031329209983
NM_003851,1.2916988370376696,1.4401717150028275,1.6956203044176927,1.3127056058255502
