Transcript ID,young,mid,old,log_fold
NM_001134231,2.4452533433348513,2.317492674303553,2.0718433795622437,0.8472919115761851
NM_021076,0.5219059063212204,0.28897168497320513,0.09252703209258772,0.1772868077787945
NM_005439,2.5499542388136747,2.4897526794156053,2.4214175039478625,0.9495925327171315
NM_006755,2.4033210171996315,2.317446212673205,2.173318146607626,0.9042978990546978
NM_004547,2.3510862447249106,2.260166458134078,2.1586265119516588,0.918140079631247
NM_000852,2.837331766758736,2.7274419159671117,2.548321036434878,0.8981399589185112
NM_001284368,2.4080222447541493,2.3420022177301125,2.26042024376926,0.9387040542061277
NM_016404,2.08494353743344,2.0094866211756113,1.9368566661756412,0.9289731982669932
NM_152742,0.40662746253042237,0.2727311380974831,0.13360510459796823,0.32856881767539836
NM_002952,2.8973135415248317,2.8406737215078697,2.562307816486654,0.8843736722875126
NM_001278728,1.6562774516770606,1.5888024520579773,1.4391931919777572,0.868932430686963
NM_001089591,2.301904981882847,2.2322366889636283,2.0741361519547157,0.90105202789829
NM_016498,1.2090812685202041,1.070974407277519,0.7768726517322417,0.6425313764748477
NM_006341,1.8292183785306366,1.7021033032555823,1.4768546213436615,0.8073692232033992
NM_002311,1.3148056394866923,1.2554560515875117,1.1498432082491659,0.8745347401294014
NM_002028,1.5527766677181216,1.4738229266562597,1.3931133385331496,0.8971756000046003
NM_198318,2.2693500053637727,2.2030354621283315,2.054973251199465,0.9055338516942681
NM_002810,2.2527677185821333,2.190260902274481,2.0983926988674777,0.9314731747790591
NM_175617,2.4011161226969064,2.2146009324415408,1.9510371190533744,0.8125542536701605
NM_001184962,1.448500167608914,1.2567915377991266,0.9288923816174962,0.6412787532850955
